"ID","SKU","Name","Slug","Permalink","Type","Current price (R)","Regular price (R)","Sale price (R)","On sale","In stock","Low stock remaining","Categories","Category slugs","Image URLs","Short description","Description (text)"
"2216","ARP 135-3707","ARP High Performance Series Cylinder Head Bolt Kit","arp-high-performance-series-cylinder-head-bolt-kit-2","https://allamericanmuscle.co.za/product/arp-high-performance-series-cylinder-head-bolt-kit-2/","simple","5421.35","5421.35","5421.35","no","yes","2","Engines & Components","engines-components","https://allamericanmuscle.co.za/wp-content/uploads/2026/06/e74a5fa3-aeeb-462f-8cd5-c57fb06c3405.webp","ARP High Performance Series Cylinder Head Bolt Kit. ARP High Performance Series cylinder head bolt kit for the Big Block Chevy (Mark IV / V) running after…","ARP High Performance Series cylinder head bolt kit for the Big Block Chevy (Mark IV / V) running aftermarket aluminum heads such as Brodix/Bowtie. Premium 8740 fasteners deliver even, dependable clamping for street and competition builds, and the kit includes hardened parallel-ground washers. Application: Big Block Chevy Mark IV/V with aftermarket aluminum heads High-strength 8740 head bolts Includes hardened washers"
"2217","ARP 134-6002","ARP High Performance Series Connecting Rod Bolts, SBC","arp-high-performance-series-connecting-rod-bolts-sbc","https://allamericanmuscle.co.za/product/arp-high-performance-series-connecting-rod-bolts-sbc/","simple","4778.31","4778.31","4778.31","no","no","0","Engines & Components","engines-components","https://allamericanmuscle.co.za/wp-content/uploads/2026/06/309e67f4-deef-4f52-a2c8-8432fddc685b.webp","ARP High Performance Series Connecting Rod Bolts, SBC – fits Small Block Chevy. ARP High Performance Series connecting rod bolt kit for the Small Block Ch…","ARP High Performance Series connecting rod bolt kit for the Small Block Chevy. 8740 chromoly bolts are heat-treated and precision thread-rolled for far greater fatigue strength than factory rod bolts – cheap insurance for any rebuild or higher-rpm SBC. Application: Small Block Chevy (e.g. 350 / 400) 8740 chromoly connecting rod bolts Complete engine set"
"2218","ARP 154-0903","ARP Bellhousing Bolt Kits","arp-bellhousing-bolt-kits-2","https://allamericanmuscle.co.za/product/arp-bellhousing-bolt-kits-2/","simple","2669.70","2669.70","2669.70","no","yes","","Engines & Components","engines-components","https://allamericanmuscle.co.za/wp-content/uploads/2026/06/129-0901-2-1.webp","ARP Bellhousing Bolt Kits. ARP bellhousing bolt kit for the Ford Small Block, securely fastening the bellhousing/transmission to the block. High-strength…","ARP bellhousing bolt kit for the Ford Small Block, securely fastening the bellhousing/transmission to the block. High-strength ARP fasteners in the correct thread and length, finished for corrosion resistance. Application: Ford Small Block 289 / 302 / 351W, engine-to-bellhousing High-strength ARP bolts Complete kit"
"2219","ARP 200-2902","ARP SBC","arp-sbc","https://allamericanmuscle.co.za/product/arp-sbc/","simple","1717.96","1717.96","1717.96","no","yes","2","Engines & Components","engines-components","https://allamericanmuscle.co.za/wp-content/uploads/2026/06/ARP_200-2902_.webp","ARP SBC – fits Small Block Chevy. ARP Pro Series flexplate bolt kit. The exclusive flat 12-point heads and larger-than-stock shank deliver a 200,000 psi r…","ARP Pro Series flexplate bolt kit. The exclusive flat 12-point heads and larger-than-stock shank deliver a 200,000 psi rating for dependable flexplate-to-crank clamping. Fits Chevrolet 90-degree V6 and 265-454 V8 with 2-piece rear seal, plus Ford 289-460 V8. 7/16-20 thread, 0.680″ UHL, 3/4″ 12-point heads Pro Series, 200,000 psi; set of 6 Note: not for 1986-and-later one-piece-rear-seal Small Block Chevy"
"2220","ARP 234-2503","ARP Balancer Bolts","arp-balancer-bolts","https://allamericanmuscle.co.za/product/arp-balancer-bolts/","simple","843.58","843.58","843.58","no","yes","","Engines & Components","engines-components","https://allamericanmuscle.co.za/wp-content/uploads/2026/06/9b3f049b-bb5b-4717-8082-bfce8c339887.webp","ARP Balancer Bolts. ARP harmonic balancer bolt and washer kit for GM LS engines. Forged from 8740 alloy and heat-treated to 190,000 psi, with a tall 1-1/1…","ARP harmonic balancer bolt and washer kit for GM LS engines. Forged from 8740 alloy and heat-treated to 190,000 psi, with a tall 1-1/16″ 12-point head for deep-socket access and a thick wide-area washer. Holds the damper on LS cranks far more securely than the factory bolt. Application: GM LS Gen III/IV – 4.8 / 5.3 / 5.7 / 6.0 (LS1, LS6), wet-sump 8740 alloy, 190,000 psi, 12-point head Torque to 235 ft-lb"
"2221","ARP 134-6003","ARP Connecting Rod Bolt Kits","arp-connecting-rod-bolt-kits","https://allamericanmuscle.co.za/product/arp-connecting-rod-bolt-kits/","simple","3374.12","3374.12","3374.12","no","yes","","Fasteners & Hardware","fasteners-hardware","https://allamericanmuscle.co.za/wp-content/uploads/2026/06/134-6003.webp","High-performance ARP connecting rod bolt kits made from durable 8740 chromoly steel for superior strength and reliability in your engine build","You can upgrade your engine’s connecting rods with the strength and reliability of ARP Connecting Rod Bolt Kits. We make them from high-performance 8740 chromoly steel. These premium bolts from Automotive Racing Products (ARP) are engineered to handle the extreme stresses of high-performance engines. In fact, they provide you with a superior clamping force. Consequently, this prevents rod failure. Ultimately, these ARP bolts are essential for you to ensure the longevity and durability of your connecting rods. Get your ARP Connecting Rod Bolt Kits now! Key Features ARP Quality: They are manufactured by the industry leader in performance fasteners. 8740 Chromoly Steel: It offers you exceptional strength and fatigue resistance. Superior Clamping Force: It ensures secure and stable connecting rods for you. Prevents Rod Failure: It is crucial for you to have on high-RPM and high-load applications. Precision Machined: We machine them to exacting tolerances for a perfect fit. Nationwide Delivery Across South Africa: We ship engine components and fasteners nationwide. Expert Support Available: Our team can help you choose the right ARP bolt kit for your engine. Why Choose ARP Connecting Rod Bolt Kits? For engine builders and performance enthusiasts in South Africa, ARP connecting rod bolts made from 8740 chromoly steel offer the ultimate in strength and reliability for demanding applications. In addition, they are a critical upgrade for any engine you plan to push beyond its stock li"
"2222","ARP 200-2802","ARP High Performance Flexplate Bolt Kit","arp-high-performance-flexplate-bolt-kit","https://allamericanmuscle.co.za/product/arp-high-performance-flexplate-bolt-kit/","simple","1885.75","1885.75","1885.75","no","yes","1","Engines & Components","engines-components","https://allamericanmuscle.co.za/wp-content/uploads/2026/06/ARP-100-2901-Chevy-V6V8-Ford-V8-High-Performance-Flexplate-Bolt-Kit.webp","The ARP High Performance flexplate bolt kit SA is the ultimate high-strength bolt set for securing flexplates on Ford and Chevy V8 engines.","The ARP High Performance flexplate bolt kit SA is the ultimate upgrade for securing your flexplate to the crankshaft. These bolts are a crucial component for any high-performance build because they provide far superior clamping force and strength compared to standard OEM bolts. They ensure the flexplate remains securely attached under high RPMs and heavy loads. Consequently, this kit is an essential investment for engine reliability and safety. Engineered for Extreme Performance ARP, a global leader in automotive fasteners, forges these bolts from a premium aerospace alloy. They then heat-treat and precision-machine them, with threads rolled after heat treatment to ensure maximum strength and fatigue resistance. Furthermore, this ARP High Performance flexplate bolt kit features a unique 12-point head design and a larger-than-stock shank diameter for improved strength and better concentricity. Indeed, this level of engineering is why top engine builders in professional racing trust ARP bolts. Wide-Ranging Application The 100-2901 kit is a versatile solution that offers a perfect fit for a variety of popular V8 engines, including Chevrolet 90° V6 & 265-454 V8s (with 2-piece rear main seals) and many Ford V8s (including 289-400 V8s). Its high tensile strength of 180,000 psi means it can handle the most demanding street or race applications. Therefore, this ARP High Performance flexplate bolt kit SA is the ideal choice for builders who demand uncompromising quality. Key Features:"
"2223","CC-7502-16","COMP Cams Pushrods, Chromoly, Heat-Treated, 5/16 i","comp-cams-pushrods-chromoly-heat-treated-5-16-i","https://allamericanmuscle.co.za/product/comp-cams-pushrods-chromoly-heat-treated-5-16-i/","simple","5983.20","5983.20","5983.20","no","yes","1","Engines & Components","engines-components","https://allamericanmuscle.co.za/wp-content/uploads/2026/06/eb92a51a-ba99-4813-a899-011efaf26d0f.webp","COMP Cams Pushrods, Chromoly, Heat-Treated, 5/16 i. COMP Cams chromoly pushrods, heat-treated and supplied as a set of 16. The 5/16″ diameter adds stiffne…","COMP Cams chromoly pushrods, heat-treated and supplied as a set of 16. The 5/16″ diameter adds stiffness for higher-spring-pressure valvetrains, resisting flex and deflection at high rpm. Chromoly, heat-treated; set of 16 5/16″ diameter for high-rpm use COMP Cams quality"
"2224","CC-7693-16","COMP Cams Magnum Pushrods","comp-cams-magnum-pushrods","https://allamericanmuscle.co.za/product/comp-cams-magnum-pushrods/","simple","5983.20","5983.20","5983.20","no","yes","2","Engines & Components","engines-components","https://allamericanmuscle.co.za/wp-content/uploads/2026/06/02baeb7d-c240-4234-b323-f3da86e80f3c.webp","COMP Cams Magnum Pushrods. COMP Cams Magnum pushrods, set of 16. The Magnum series uses heat-treated high-strength tubing for dependable performance in st…","COMP Cams Magnum pushrods, set of 16. The Magnum series uses heat-treated high-strength tubing for dependable performance in street and competition valvetrains. COMP Cams Magnum series; set of 16 Heat-treated high-strength tubing Street and performance use"
"2225","CC-7831-16","COMP Cams High Energy Pushrods High Energy, Steel,","comp-cams-high-energy-pushrods-high-energy-steel","https://allamericanmuscle.co.za/product/comp-cams-high-energy-pushrods-high-energy-steel/","simple","1622.45","1622.45","1622.45","no","yes","1","Engines & Components","engines-components","https://allamericanmuscle.co.za/wp-content/uploads/2026/06/dd265dbc-c2de-40ba-90df-20e7c82c1b5e.webp","COMP Cams High Energy Pushrods High Energy, Steel. COMP Cams High Energy pushrods, set of 16. Made from heat-treated seamless steel tubing with hardened e…","COMP Cams High Energy pushrods, set of 16. Made from heat-treated seamless steel tubing with hardened ends, the High Energy series is a reliable OE-style replacement and mild-performance upgrade. COMP Cams High Energy series; set of 16 Heat-treated steel with hardened ends Stock-replacement / mild performance"
"2226","CC-7812-16","COMP Cams High Energy Pushrods Steel Heat-Treated","comp-cams-high-energy-pushrods-steel-heat-treated","https://allamericanmuscle.co.za/product/comp-cams-high-energy-pushrods-steel-heat-treated/","simple","1622.45","1622.45","1622.45","no","yes","2","Engines & Components","engines-components","https://allamericanmuscle.co.za/wp-content/uploads/2026/04/product20288429.webp","COMP Cams High Energy Pushrods Steel Heat-Treated. COMP Cams High Energy pushrods in 5/16″ diameter, 7.794″ overall length — the factory length for 1955…","COMP Cams High Energy pushrods in 5/16″ diameter, 7.794″ overall length — the factory length for 1955-and-up Small Block Chevy 262–400 cu in V8 engines fitted with flat-tappet camshafts. One-piece tube steel construction with heat-treated ball-style tips on both ends, finished in black oxide for durability and corrosion resistance. Designed to meet or exceed OE pushrod specifications and pair perfectly with COMP Cams High Energy and Magnum rocker arms. Ideal for street rods, daily drivers, and mild performance builds. Specifications: Diameter: 5/16″ Length: 7.794″ (intake and exhaust) Tip style: Ball, both ends Material: Heat-treated steel, black oxide finish Quantity: Set of 16 Application: Small Block Chevy 262–400 cu in (with flat-tappet cams)"
"2227","CC-7832-16","COMP Cams High Energy Pushrods , Steel, 5/16 in. D","comp-cams-high-energy-pushrods-steel-5-16-in-d","https://allamericanmuscle.co.za/product/comp-cams-high-energy-pushrods-steel-5-16-in-d/","simple","1665.21","1665.21","1665.21","no","yes","","Engines & Components","engines-components","https://allamericanmuscle.co.za/wp-content/uploads/2026/06/dd265dbc-c2de-40ba-90df-20e7c82c1b5e.webp","COMP Cams High Energy Pushrods , Steel, 5/16 in. D. COMP Cams High Energy pushrods, 5/16″ diameter, set of 16. Heat-treated seamless steel tubing with har…","COMP Cams High Energy pushrods, 5/16″ diameter, set of 16. Heat-treated seamless steel tubing with hardened tips for dependable valvetrain performance in street and mild-performance engines. COMP Cams High Energy series; 5/16″; set of 16 Heat-treated steel, hardened ends Stock-replacement / mild performance"
"2229","EDL-1711","Edelbrock Victor Series Racing Fuel Pump SBF","edelbrock-victor-series-racing-fuel-pump-sbf","https://allamericanmuscle.co.za/product/edelbrock-victor-series-racing-fuel-pump-sbf/","simple","2954.26","2954.26","2954.26","no","yes","1","Air & Fuel Delivery","air-fuel-delivery","https://allamericanmuscle.co.za/wp-content/uploads/2026/06/EDL-1711.webp","High-performance Edelbrock Victor Series mechanical racing fuel pump designed for Small Block engines, delivering high volume and consistent pressure.","You can maximize the fuel delivery to your high-performance Small Block engine with the Edelbrock Victor Series Racing Fuel Pump SBF. We engineered this mechanical fuel pump for you to use in demanding racing applications. Consequently, it delivers a consistent and high volume of fuel. This ensures your engine receives the fuel it needs under extreme conditions. We designed it specifically for Small Block engines. It provides reliable performance and durability that racers trust. The Edelbrock Victor Series fuel pump is built with high-quality components. This is to withstand the rigors of racing. In addition, its robust construction ensures consistent fuel pressure. This is critical for you to have optimal engine performance and for preventing fuel starvation at high RPMs. Furthermore, this pump is a direct replacement for many stock mechanical fuel pumps. This makes installation relatively straightforward. Ultimately, whether you’re on the track or pushing your engine to its limits, this fuel pump is an essential upgrade for you to have reliable fuel delivery. Key Features Edelbrock Victor Series: We designed it for you to use in high-performance and racing applications. Specifically for Small Block: We optimized it for you to meet Small Block engine fuel demands. High Volume Output: It delivers the necessary fuel for demanding conditions. Consistent Fuel Pressure: It ensures you have optimal engine performance. Durable Construction: We built it to withstand racing environm"
"2230","EDL-1720","Edelbrock Performer RPM Street Fuel Pump SBC","edelbrock-performer-rpm-street-fuel-pump-sbc","https://allamericanmuscle.co.za/product/edelbrock-performer-rpm-street-fuel-pump-sbc/","simple","3546.01","3546.01","3546.01","no","yes","1","Air & Fuel Delivery","air-fuel-delivery","https://allamericanmuscle.co.za/wp-content/uploads/2026/06/EDL-1720-1.webp","Edelbrock Performer RPM mechanical street fuel pump for Small Block engines, delivering increased volume and a consistent 6 PSI.","You can upgrade your Small Block engine’s fuel delivery with the Edelbrock Performer RPM Street Fuel Pump. We designed this mechanical fuel pump for you to use in high-performance street applications. It provides a significant increase in fuel volume over stock pumps. This ensures consistent fuel delivery for Edelbrock Performer RPM intake manifolds and other performance upgrades. Furthermore, we engineered it to prevent fuel starvation in demanding street driving conditions and mild performance applications. The Edelbrock Performer RPM fuel pump maintains a consistent fuel pressure of 6 PSI. This is ideal for most aftermarket carburetors. Its three-valve design minimizes vapor lock and ensures you have reliable operation, even in warmer climates. In fact, this pump is a direct replacement for many stock mechanical fuel pumps on Small Block engines. This makes installation straightforward. Ultimately, you can enhance the performance and reliability of your street machine with this pump. Key Features Edelbrock Performer RPM Series: We optimized it for you to have street performance. Specifically for Small Block: We designed it for you to meet Small Block engine fuel demands. Increased Fuel Volume: It provides more fuel than stock pumps. Consistent 6 PSI Pressure: It is ideal for most aftermarket carburetors. Three-Valve Design: It minimizes vapor lock for you. This ensures reliable operation. Direct Replacement: It is designed to replace many stock mechanical pumps for you. En"
"2231","EDL-4264","Edelbrock Elite Series Valve Covers Ford","edelbrock-elite-series-valve-covers-ford","https://allamericanmuscle.co.za/product/edelbrock-elite-series-valve-covers-ford/","simple","3882.98","3882.98","3882.98","no","no","0","Engines & Components","engines-components","https://allamericanmuscle.co.za/wp-content/uploads/2026/06/EDL-4264.webp","Edelbrock Elite Series tall polished aluminum valve covers with black accents for Ford 289/302/351W engines.","Add a touch of classic styling and high-quality construction to your Ford 289, 302, or 351W (Windsor) engine with the Edelbrock Elite Series Valve Covers Ford. These valve covers are part of the iconic Elite Series, originally released in 1985, and offer a timeless design with a modern twist. Constructed from heavy-gauge, die-cast aluminum, they provide excellent durability and a premium look. Key Features: Edelbrock Elite Series: Iconic design with a modern touch. Fits Ford 289/302/351W: Specifically designed for these Small Block Ford engines (except Boss). Tall Profile: Approximately 3.70 inches high for increased valvetrain clearance. Polished Aluminum Finish: Provides a show-quality shine. Gloss Black Accents: Between the fins for a distinctive look. Heavy-Gauge Die-Cast Aluminum: Ensures durability and excellent sealing. Baffled: Contains oil baffles to minimize oil splash. Nationwide Delivery Across South Africa: We ship engine dress-up components nationwide. Expert Support Available: Our team can assist with any questions. Why Choose Edelbrock Elite Series Valve Covers for your Ford Small Block in South Africa? If you’re looking to enhance the visual appeal of your Ford 289, 302, or 351W engine in South Africa with a set of high-quality, classic-style valve covers that also offer increased clearance for performance valvetrain components, the Edelbrock Elite Series is an excellent choice. Specifications: Brand: Edelbrock Series: Elite II Engine Type: Ford Small Block ("
"2232","EDL-4446","Edelbrock Signature Series Chrome Valve Covers SBC","edelbrock-signature-series-chrome-valve-covers-sbc","https://allamericanmuscle.co.za/product/edelbrock-signature-series-chrome-valve-covers-sbc/","simple","1480.98","1480.98","1480.98","no","no","0","Engines & Components","engines-components","https://allamericanmuscle.co.za/wp-content/uploads/2026/06/EDL-4449.webp","Edelbrock Signature Series standard height chrome valve covers for Small Block Chevrolet engines with embossed logo. Pair.","Add a touch of classic chrome elegance to your Small Block Chevrolet (SBC) engine with the Edelbrock Signature Series Chrome Valve Covers SBC. These eye-catching valve covers feature a high-quality chrome-plated finish that will instantly enhance the appearance of your engine bay. The embossed Edelbrock signature logo adds a subtle yet distinctive touch of performance heritage. Key Features: Edelbrock Signature Series: Classic style with the iconic Edelbrock logo. Fits Small Block Chevy: Designed for most Small Block Chevrolet engines. High-Quality Chrome Finish: Provides a brilliant and durable shine. Embossed Edelbrock Logo: Adds a touch of performance branding. Standard Height: Compatible with most stock and some aftermarket valvetrain. Durable Stamped Steel: Ensures reliable sealing and protection. Easy Installation: Direct bolt-on replacement for most stock valve covers. Nationwide Delivery Across South Africa: We ship engine dress-up components nationwide. Expert Support Available: Our team can assist with any questions. Why Choose Edelbrock Signature Series Chrome Valve Covers for your SBC in South Africa? If you’re looking to add a classic chrome look to your Small Block Chevrolet engine in South Africa with a set of quality valve covers featuring the renowned Edelbrock signature, these are an excellent choice. Specifications: Brand: Edelbrock Series: Signature Series Engine Type: Small Block Chevrolet (SBC) Material: Stamped Steel Finish: Chrome Plated Height: Standa"
